Time,lat,lon,speed,LA,LZ,speed_range,LA_corrected,correction
2024-05-13 11:32:29,43.2737071667,-2.0178018333,1.892,58.60765073509473,71.84880447448703,"(-0.0385, 10.37]",74.04519385105384,-7.943307879587209
2024-05-13 11:32:30,43.2737131667,-2.0177996667,3.665,62.0669704450168,76.58520481258434,"(-0.0385, 10.37]",73.81101747528763,-8.17748425535342
2024-05-13 11:32:32,43.2737158333,-2.0177916667,4.154,63.611775103994226,74.77184640153283,"(-0.0385, 10.37]",74.65619983611677,-7.332301894524278
2024-05-13 11:32:33,43.273724,-2.0177855,3.712,63.27776962971926,77.50904146647757,"(-0.0385, 10.37]",74.95063587477344,-7.037865855867608
2024-05-13 11:32:34,43.2737265,-2.0177796667,3.503,63.49929734040571,75.11082631116301,"(-0.0385, 10.37]",75.49588415252519,-6.492617578115855
2024-05-13 11:32:35,43.2737345,-2.017769,5.57,63.51733041029368,73.95883704630094,"(-0.0385, 10.37]",72.92322123666327,-9.065280493977781
2024-05-13 11:32:36,43.2737361667,-2.0177626667,3.246,62.71218262090326,73.04439030818038,"(-0.0385, 10.37]",75.134409565111,-6.854092165530048
2024-05-13 11:32:37,43.2737365,-2.0177575,2.36,61.957270132248645,71.71914683989617,"(-0.0385, 10.37]",76.16013314748639,-5.828368583154656
2024-05-13 11:32:39,43.2737421667,-2.017747,4.51,65.68230370805863,74.97330998384682,"(-0.0385, 10.37]",76.26740884740211,-5.7210928832389385
2024-05-13 11:32:40,43.2737535,-2.0177188333,6.05,66.22749321804406,77.42644136971178,"(-0.0385, 10.37]",75.1716189119887,-6.816882818652346
2024-05-13 11:32:41,43.2737618333,-2.0177031667,6.033,66.70363297087765,77.71230014589558,"(-0.0385, 10.37]",75.6634772428821,-6.325024487758952
2024-05-13 11:32:42,43.2737668333,-2.0176896667,5.847,67.35717091512552,78.7090814364287,"(-0.0385, 10.37]",76.4919478136837,-5.496553916957353
2024-05-13 11:32:43,43.2737765,-2.0176768333,6.577,67.8352588490809,80.39015702074434,"(-0.0385, 10.37]",76.31283086930252,-5.675670861338531
2024-05-13 11:32:44,43.2737915,-2.0176573333,9.123,69.86886706503968,82.1023358162868,"(-0.0385, 10.37]",76.51855502426127,-5.469946706379773
2024-05-13 11:32:46,43.2738306667,-2.0176043333,11.999,69.15076688455036,83.25792776826964,"(10.37, 20.738]",74.26972550825968,-7.718776222381365
2024-05-13 11:32:47,43.2738498333,-2.0175791667,11.213,70.05700162648692,81.83139661437824,"(10.37, 20.738]",75.55441580221914,-6.434085928421908
2024-05-13 11:32:48,43.2738708333,-2.0175515,12.026,72.32939645415306,81.74167021827307,"(10.37, 20.738]",77.4357994228459,-4.552702307795144
2024-05-13 11:32:49,43.2738945,-2.0175145,14.855,73.65104641459023,80.75625570246885,"(10.37, 20.738]",77.57729863929814,-4.411203091342912
2024-05-13 11:32:50,43.2739185,-2.0174863333,12.502,74.50303838747273,82.27550460819403,"(10.37, 20.738]",79.39260197088603,-2.5958997597550137
2024-05-13 11:32:51,43.2739556667,-2.017448,17.473,73.55500131088532,81.59176281329886,"(10.37, 20.738]",76.5745157219781,-5.413986008662945
