Time,lat,lon,speed,LA,LZ
2024-05-13 11:32:29,43.2737071667,-2.0178018333,1.892,58.60765073509473,71.84880447448703
2024-05-13 11:32:30,43.2737131667,-2.0177996667,3.665,62.0669704450168,76.58520481258434
2024-05-13 11:32:32,43.2737158333,-2.0177916667,4.154,63.611775103994226,74.77184640153283
2024-05-13 11:32:33,43.273724,-2.0177855,3.712,63.27776962971926,77.50904146647757
2024-05-13 11:32:34,43.2737265,-2.0177796667,3.503,63.49929734040571,75.11082631116301
2024-05-13 11:32:35,43.2737345,-2.017769,5.57,63.51733041029368,73.95883704630094
2024-05-13 11:32:36,43.2737361667,-2.0177626667,3.246,62.71218262090326,73.04439030818038
2024-05-13 11:32:37,43.2737365,-2.0177575,2.36,61.957270132248645,71.71914683989617
2024-05-13 11:32:39,43.2737421667,-2.017747,4.51,65.68230370805863,74.97330998384682
2024-05-13 11:32:40,43.2737535,-2.0177188333,6.05,66.22749321804406,77.42644136971178
2024-05-13 11:32:41,43.2737618333,-2.0177031667,6.033,66.70363297087765,77.71230014589558
2024-05-13 11:32:42,43.2737668333,-2.0176896667,5.847,67.35717091512552,78.7090814364287
2024-05-13 11:32:43,43.2737765,-2.0176768333,6.577,67.8352588490809,80.39015702074434
2024-05-13 11:32:44,43.2737915,-2.0176573333,9.123,69.86886706503968,82.1023358162868
2024-05-13 11:32:46,43.2738306667,-2.0176043333,11.999,69.15076688455036,83.25792776826964
2024-05-13 11:32:47,43.2738498333,-2.0175791667,11.213,70.05700162648692,81.83139661437824
2024-05-13 11:32:48,43.2738708333,-2.0175515,12.026,72.32939645415306,81.74167021827307
2024-05-13 11:32:49,43.2738945,-2.0175145,14.855,73.65104641459023,80.75625570246885
2024-05-13 11:32:50,43.2739185,-2.0174863333,12.502,74.50303838747273,82.27550460819403
2024-05-13 11:32:51,43.2739556667,-2.017448,17.473,73.55500131088532,81.59176281329886
2024-05-13 11:32:53,43.2739866667,-2.0174131667,17.005,71.81964999690045,81.61185655379968
2024-05-13 11:32:54,43.274044,-2.0173336667,15.411,71.69365720114293,82.04898926679769
2024-05-13 11:32:55,43.274071,-2.0173058333,13.562,72.35785868622217,83.85018358256623
2024-05-13 11:32:56,43.2741006667,-2.0172795,14.431,72.43655363794487,85.70665909294517
2024-05-13 11:32:57,43.2741283333,-2.0172648333,13.132,72.73006982467,85.58293908693696
2024-05-13 11:32:59,43.2741555,-2.0172478333,13.018,73.74401985305131,82.38254103577447
2024-05-13 11:33:00,43.2742193333,-2.0172258333,14.063,74.29128705746373,83.76194567135612
2024-05-13 11:33:01,43.274256,-2.0172195,14.588,74.80867820432044,83.93156320284788
2024-05-13 11:33:02,43.2742976667,-2.01721,16.727,75.25642893212692,83.92622338731444
2024-05-13 11:33:03,43.27434,-2.0172088333,16.412,75.85331094767946,83.3997997298888
2024-05-13 11:33:05,43.2743856667,-2.0172098333,18.905,76.0069871191971,84.35037481398963
2024-05-13 11:33:06,43.2744756667,-2.017214,18.55,76.16894844845068,85.82533963503728
2024-05-13 11:33:07,43.2745153333,-2.0172116667,16.771,75.15696386369872,86.23353398336788
2024-05-13 11:33:08,43.2745548333,-2.0172171667,16.37,74.12227508858945,84.79757864716235
2024-05-13 11:33:09,43.2745906667,-2.0172161667,14.393,72.1807467116693,82.43838781124975
2024-05-13 11:33:11,43.2746273333,-2.0172271667,14.509,72.31793850275041,86.28273655007561
2024-05-13 11:33:12,43.274683,-2.0172496667,9.685,70.86604909424526,84.48209378454163
2024-05-13 11:33:13,43.274697,-2.0172848333,8.915,70.66747859287146,82.60702526578777
2024-05-13 11:33:14,43.2747065,-2.0173283333,10.743,70.88742207947628,83.47375032934325
