Time,lat,lon,speed,LA,LZ
2024-05-23 16:38:26,43.3095138333,-1.8822006667,0.986,60.09341121760599,74.92961196625292
2024-05-23 16:38:27,43.3095121667,-1.8821975,1.155,61.00310534266448,75.00284819844184
2024-05-23 16:38:28,43.3095095,-1.8821938333,1.716,63.03155297259458,76.83463410903147
2024-05-23 16:38:29,43.3094993333,-1.8821828333,2.619,63.09483960018653,77.53994385284456
2024-05-23 16:38:30,43.3094928333,-1.8821793333,2.251,63.51649038012886,77.69886927460648
2024-05-23 16:38:32,43.3094865,-1.8821768333,2.655,63.90308333874231,78.82079114836421
2024-05-23 16:38:33,43.3094786667,-1.8821753333,3.373,64.63222483378001,79.92399201154439
2024-05-23 16:38:34,43.309473,-1.8821778333,2.558,65.17550173680483,79.31957341461478
2024-05-23 16:38:35,43.3094635,-1.8821816667,4.16,66.76434990262956,80.69505677219318
2024-05-23 16:38:36,43.3094536667,-1.8821876667,4.692,67.17962627680127,80.21561418150283
2024-05-23 16:38:38,43.309431,-1.8822013333,5.664,69.29576663353134,83.59722339597394
2024-05-23 16:38:39,43.3094196667,-1.8822113333,5.546,71.80177102227125,88.24331735338227
2024-05-23 16:38:40,43.309414,-1.8822281667,5.746,73.84276284899359,90.87692798946611
2024-05-23 16:38:41,43.3094056667,-1.8822488333,7.52,72.81686425979483,89.56641853151643
2024-05-23 16:38:42,43.3094,-1.8822765,11.981,72.47344066334699,83.9261785936067
2024-05-23 16:38:44,43.3093928333,-1.882361,14.463,78.03882626767684,89.70783335525095
2024-05-23 16:38:45,43.3093883333,-1.8824141667,16.133,77.76232094971334,89.4462776184541
2024-05-23 16:38:46,43.3093865,-1.8824621667,13.744,76.58719104048167,88.37598010479466
2024-05-23 16:38:47,43.3093846667,-1.8825096667,13.997,74.97772045536202,87.26086707600282
2024-05-23 16:38:48,43.3093796667,-1.882552,8.606,71.09467854550536,84.74669232704089
2024-05-23 16:38:49,43.309379,-1.8826043333,4.789,66.90629605649819,81.25297895968104
2024-05-23 16:38:51,43.3093846667,-1.8826171667,4.456,66.80798979244324,79.7665951815863
