day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-10-19,,,,,,,,,,,,,,72.7,64.3,62.3,63.3,64.7,65.2,65.7,66.3,65.5,65.0,57.4
2023-10-20,52.2,52.5,59.0,57.7,58.4,60.0,60.4,63.2,64.9,64.7,63.0,62.3,62.8,64.1,64.1,62.1,61.8,64.4,64.9,68.3,68.5,68.2,67.2,66.5
2023-10-21,62.6,56.3,52.3,50.4,49.7,50.9,54.1,56.2,58.6,63.6,63.5,63.2,67.0,68.3,70.6,68.3,64.8,67.5,68.5,70.1,69.6,69.4,68.8,66.8
2023-10-22,64.5,60.0,53.9,50.8,45.9,50.3,51.8,64.1,55.6,57.3,60.1,60.9,65.4,68.3,68.9,65.8,61.8,63.4,67.3,71.5,65.4,61.6,60.0,56.4
2023-10-23,50.4,47.4,48.1,48.8,49.7,55.1,56.3,61.7,65.2,62.0,62.2,61.0,63.0,62.4,62.9,61.0,60.6,62.6,63.4,62.3,61.9,61.1,58.6,52.5
2023-10-24,50.6,47.8,44.8,46.0,48.4,54.2,59.9,60.5,65.4,63.1,62.9,64.6,64.3,64.0,65.7,63.7,63.7,65.3,65.2,65.4,67.2,64.5,62.6,59.5
2023-10-25,57.4,56.3,49.4,51.9,49.4,53.5,56.9,60.9,65.4,62.7,64.0,62.9,64.0,64.3,64.9,63.0,62.4,65.1,68.3,65.0,63.5,62.8,60.8,58.9
2023-10-26,56.8,48.9,47.3,46.3,50.9,54.9,57.4,63.0,65.1,62.3,64.2,61.7,62.4,62.6,63.0,62.2,63.6,62.8,63.2,65.3,64.2,62.6,62.6,57.4
2023-10-27,51.9,53.2,50.9,46.7,50.6,57.1,57.9,63.0,65.0,64.2,61.7,62.9,63.2,,,,,,,,,,,
