index,Value,Tag
2022-08-30 09:00:00,49.0,BI-RUI-C005LD
2022-08-30 09:15:00,45.4,BI-RUI-C005LD
2022-08-30 09:30:00,47.5,BI-RUI-C005LD
2022-08-30 09:45:00,46.2,BI-RUI-C005LD
2022-08-30 10:00:00,49.0,BI-RUI-C005LD
2022-08-30 10:15:00,50.4,BI-RUI-C005LD
2022-08-30 10:30:00,47.1,BI-RUI-C005LD
2022-08-30 10:45:00,46.9,BI-RUI-C005LD
2022-08-30 11:00:00,49.4,BI-RUI-C005LD
2022-08-30 11:15:00,49.3,BI-RUI-C005LD
2022-08-30 11:30:00,48.3,BI-RUI-C005LD
2022-08-30 11:45:00,48.0,BI-RUI-C005LD
2022-08-30 12:00:00,51.7,BI-RUI-C005LD
2022-08-30 12:15:00,51.8,BI-RUI-C005LD
2022-08-30 12:30:00,49.6,BI-RUI-C005LD
2022-08-30 12:45:00,50.5,BI-RUI-C005LD
2022-08-30 13:00:00,50.4,BI-RUI-C005LD
2022-08-30 13:15:00,48.9,BI-RUI-C005LD
2022-08-30 13:30:00,49.8,BI-RUI-C005LD
2022-08-30 13:45:00,52.9,BI-RUI-C005LD
2022-08-30 14:00:00,54.3,BI-RUI-C005LD
2022-08-30 14:15:00,54.2,BI-RUI-C005LD
2022-08-30 14:30:00,53.9,BI-RUI-C005LD
2022-08-30 14:45:00,50.9,BI-RUI-C005LD
2022-08-30 15:00:00,48.6,BI-RUI-C005LD
2022-08-30 15:15:00,47.1,BI-RUI-C005LD
2022-08-30 15:30:00,52.4,BI-RUI-C005LD
2022-08-30 15:45:00,56.7,BI-RUI-C005LD
2022-08-30 16:00:00,58.5,BI-RUI-C005LD
2022-08-30 16:15:00,59.6,BI-RUI-C005LD
2022-08-30 16:30:00,54.5,BI-RUI-C005LD
2022-08-30 16:45:00,65.5,BI-RUI-C005LD
2022-08-30 17:00:00,59.9,BI-RUI-C005LD
2022-08-30 17:15:00,60.1,BI-RUI-C005LD
2022-08-30 17:30:00,63.7,BI-RUI-C005LD
2022-08-30 17:45:00,64.1,BI-RUI-C005LD
2022-08-30 18:00:00,57.6,BI-RUI-C005LD
2022-08-30 18:15:00,54.2,BI-RUI-C005LD
2022-08-30 18:30:00,55.7,BI-RUI-C005LD
2022-08-30 18:45:00,53.3,BI-RUI-C005LD
2022-08-30 19:00:00,53.4,BI-RUI-C005LD
2022-08-30 19:15:00,55.1,BI-RUI-C005LD
2022-08-30 19:30:00,56.3,BI-RUI-C005LD
2022-08-30 19:45:00,56.7,BI-RUI-C005LD
2022-08-30 20:00:00,56.4,BI-RUI-C005LD
2022-08-30 20:15:00,,BI-RUI-C005LD
2022-08-30 20:30:00,56.6,BI-RUI-C005LD
2022-08-30 20:45:00,56.3,BI-RUI-C005LD
2022-08-30 21:00:00,54.4,BI-RUI-C005LD
2022-08-30 21:15:00,56.6,BI-RUI-C005LD
2022-08-30 21:30:00,53.6,BI-RUI-C005LD
2022-08-30 21:45:00,54.6,BI-RUI-C005LD
2022-08-30 22:00:00,,BI-RUI-C005LD
2022-08-30 22:15:00,54.0,BI-RUI-C005LD
2022-08-30 22:30:00,55.3,BI-RUI-C005LD
2022-08-30 22:45:00,52.6,BI-RUI-C005LD
2022-08-30 23:00:00,52.5,BI-RUI-C005LD
2022-08-30 23:15:00,66.4,BI-RUI-C005LD
2022-08-30 23:30:00,59.7,BI-RUI-C005LD
2022-08-30 23:45:00,64.0,BI-RUI-C005LD
2022-08-31 00:00:00,58.7,BI-RUI-C005LD
2022-08-31 00:15:00,58.6,BI-RUI-C005LD
2022-08-31 00:30:00,50.8,BI-RUI-C005LD
2022-08-31 00:45:00,48.6,BI-RUI-C005LD
2022-08-31 01:00:00,41.3,BI-RUI-C005LD
2022-08-31 01:15:00,48.0,BI-RUI-C005LD
2022-08-31 01:30:00,43.72,BI-RUI-C005LD
2022-08-31 01:45:00,42.3,BI-RUI-C005LD
2022-08-31 02:00:00,44.9,BI-RUI-C005LD
2022-08-31 02:15:00,45.0,BI-RUI-C005LD
2022-08-31 02:30:00,40.8,BI-RUI-C005LD
2022-08-31 02:45:00,41.7,BI-RUI-C005LD
2022-08-31 03:00:00,41.7,BI-RUI-C005LD
2022-08-31 03:15:00,,BI-RUI-C005LD
2022-08-31 03:30:00,41.7,BI-RUI-C005LD
2022-08-31 03:45:00,49.3,BI-RUI-C005LD
2022-08-31 04:00:00,46.9,BI-RUI-C005LD
2022-08-31 04:15:00,41.7,BI-RUI-C005LD
2022-08-31 04:30:00,41.7,BI-RUI-C005LD
2022-08-31 04:45:00,41.7,BI-RUI-C005LD
2022-08-31 05:00:00,41.7,BI-RUI-C005LD
2022-08-31 05:15:00,41.7,BI-RUI-C005LD
2022-08-31 05:30:00,41.7,BI-RUI-C005LD
2022-08-31 05:45:00,41.7,BI-RUI-C005LD
2022-08-31 06:00:00,41.7,BI-RUI-C005LD
2022-08-31 06:15:00,41.7,BI-RUI-C005LD
2022-08-31 06:30:00,41.7,BI-RUI-C005LD
2022-08-31 06:45:00,41.7,BI-RUI-C005LD
2022-08-31 07:00:00,41.7,BI-RUI-C005LD
2022-08-31 07:15:00,43.1,BI-RUI-C005LD
2022-08-31 07:30:00,41.7,BI-RUI-C005LD
2022-08-31 07:45:00,41.7,BI-RUI-C005LD
2022-08-31 08:00:00,41.7,BI-RUI-C005LD
2022-08-31 08:15:00,44.1,BI-RUI-C005LD
2022-08-31 08:30:00,50.3,BI-RUI-C005LD
2022-08-31 08:45:00,43.2,BI-RUI-C005LD
2022-08-31 09:00:00,43.2,BI-RUI-C005LD
2022-08-31 09:15:00,43.9,BI-RUI-C005LD
2022-08-31 09:30:00,46.2,BI-RUI-C005LD
2022-08-31 09:45:00,49.3,BI-RUI-C005LD
2022-08-31 10:00:00,47.1,BI-RUI-C005LD
2022-08-31 10:15:00,46.8,BI-RUI-C005LD
2022-08-31 10:30:00,47.7,BI-RUI-C005LD
2022-08-31 10:45:00,46.3,BI-RUI-C005LD
2022-08-31 11:00:00,46.4,BI-RUI-C005LD
2022-08-31 11:15:00,56.3,BI-RUI-C005LD
2022-08-31 11:30:00,48.4,BI-RUI-C005LD
2022-08-31 11:45:00,47.3,BI-RUI-C005LD
2022-08-31 12:00:00,50.5,BI-RUI-C005LD
2022-08-31 12:15:00,48.8,BI-RUI-C005LD
2022-08-31 12:30:00,52.3,BI-RUI-C005LD
2022-08-31 12:45:00,53.5,BI-RUI-C005LD
2022-08-31 13:00:00,50.1,BI-RUI-C005LD
2022-08-31 13:15:00,49.9,BI-RUI-C005LD
2022-08-31 13:30:00,51.8,BI-RUI-C005LD
2022-08-31 13:45:00,55.1,BI-RUI-C005LD
2022-08-31 14:00:00,55.0,BI-RUI-C005LD
2022-08-31 14:15:00,53.0,BI-RUI-C005LD
2022-08-31 14:30:00,51.4,BI-RUI-C005LD
2022-08-31 14:45:00,47.6,BI-RUI-C005LD
2022-08-31 15:00:00,48.3,BI-RUI-C005LD
2022-08-31 15:15:00,56.6,BI-RUI-C005LD
2022-08-31 15:30:00,,BI-RUI-C005LD
2022-08-31 15:45:00,55.8,BI-RUI-C005LD
2022-08-31 16:00:00,50.1,BI-RUI-C005LD
2022-08-31 16:15:00,48.4,BI-RUI-C005LD
2022-08-31 16:30:00,52.0,BI-RUI-C005LD
2022-08-31 16:45:00,54.8,BI-RUI-C005LD
2022-08-31 17:00:00,51.3,BI-RUI-C005LD
2022-08-31 17:15:00,49.4,BI-RUI-C005LD
2022-08-31 17:30:00,48.9,BI-RUI-C005LD
2022-08-31 17:45:00,51.6,BI-RUI-C005LD
2022-08-31 18:00:00,51.6,BI-RUI-C005LD
2022-08-31 18:15:00,55.5,BI-RUI-C005LD
2022-08-31 18:30:00,52.4,BI-RUI-C005LD
2022-08-31 18:45:00,54.8,BI-RUI-C005LD
2022-08-31 19:00:00,51.5,BI-RUI-C005LD
2022-08-31 19:15:00,52.9,BI-RUI-C005LD
2022-08-31 19:30:00,55.1,BI-RUI-C005LD
2022-08-31 19:45:00,56.5,BI-RUI-C005LD
2022-08-31 20:00:00,54.2,BI-RUI-C005LD
2022-08-31 20:15:00,54.1,BI-RUI-C005LD
2022-08-31 20:30:00,53.8,BI-RUI-C005LD
2022-08-31 20:45:00,59.6,BI-RUI-C005LD
2022-08-31 21:00:00,58.8,BI-RUI-C005LD
2022-08-31 21:15:00,56.7,BI-RUI-C005LD
2022-08-31 21:30:00,53.3,BI-RUI-C005LD
2022-08-31 21:45:00,54.5,BI-RUI-C005LD
2022-08-31 22:00:00,54.5,BI-RUI-C005LD
2022-08-31 22:15:00,53.8,BI-RUI-C005LD
2022-08-31 22:30:00,50.9,BI-RUI-C005LD
2022-08-31 22:45:00,53.8,BI-RUI-C005LD
2022-08-31 23:00:00,52.7,BI-RUI-C005LD
2022-08-31 23:15:00,55.1,BI-RUI-C005LD
2022-08-31 23:30:00,53.9,BI-RUI-C005LD
2022-08-31 23:45:00,54.1,BI-RUI-C005LD
2022-09-01 00:00:00,45.7,BI-RUI-C005LD
2022-09-01 00:15:00,45.6,BI-RUI-C005LD
2022-09-01 00:30:00,49.2,BI-RUI-C005LD
2022-09-01 00:45:00,47.4,BI-RUI-C005LD
2022-09-01 01:00:00,49.5,BI-RUI-C005LD
2022-09-01 01:15:00,48.9,BI-RUI-C005LD
2022-09-01 01:30:00,45.0,BI-RUI-C005LD
2022-09-01 01:45:00,43.06,BI-RUI-C005LD
2022-09-01 02:00:00,44.6,BI-RUI-C005LD
2022-09-01 02:15:00,43.2,BI-RUI-C005LD
2022-09-01 02:30:00,41.7,BI-RUI-C005LD
2022-09-01 02:45:00,41.7,BI-RUI-C005LD
2022-09-01 03:00:00,41.7,BI-RUI-C005LD
2022-09-01 03:15:00,41.7,BI-RUI-C005LD
2022-09-01 03:30:00,41.7,BI-RUI-C005LD
2022-09-01 03:45:00,41.7,BI-RUI-C005LD
2022-09-01 04:00:00,41.7,BI-RUI-C005LD
2022-09-01 04:15:00,52.8,BI-RUI-C005LD
2022-09-01 04:30:00,41.7,BI-RUI-C005LD
2022-09-01 04:45:00,41.7,BI-RUI-C005LD
2022-09-01 05:00:00,41.7,BI-RUI-C005LD
2022-09-01 05:15:00,41.7,BI-RUI-C005LD
2022-09-01 05:30:00,41.7,BI-RUI-C005LD
2022-09-01 05:45:00,41.7,BI-RUI-C005LD
2022-09-01 06:00:00,41.7,BI-RUI-C005LD
2022-09-01 06:15:00,41.7,BI-RUI-C005LD
2022-09-01 06:30:00,41.7,BI-RUI-C005LD
2022-09-01 06:45:00,41.7,BI-RUI-C005LD
2022-09-01 07:00:00,42.0,BI-RUI-C005LD
2022-09-01 07:15:00,43.4,BI-RUI-C005LD
2022-09-01 07:30:00,40.8,BI-RUI-C005LD
2022-09-01 07:45:00,41.7,BI-RUI-C005LD
2022-09-01 08:00:00,41.9,BI-RUI-C005LD
2022-09-01 08:15:00,51.8,BI-RUI-C005LD
2022-09-01 08:30:00,47.4,BI-RUI-C005LD
2022-09-01 08:45:00,,BI-RUI-C005LD
2022-09-01 09:00:00,42.7,BI-RUI-C005LD
2022-09-01 09:15:00,47.0,BI-RUI-C005LD
2022-09-01 09:30:00,44.6,BI-RUI-C005LD
2022-09-01 09:45:00,49.0,BI-RUI-C005LD
2022-09-01 10:00:00,49.1,BI-RUI-C005LD
2022-09-01 10:15:00,46.7,BI-RUI-C005LD
2022-09-01 10:30:00,46.4,BI-RUI-C005LD
2022-09-01 10:45:00,51.4,BI-RUI-C005LD
2022-09-01 11:00:00,53.6,BI-RUI-C005LD
2022-09-01 11:15:00,48.9,BI-RUI-C005LD
2022-09-01 11:30:00,49.4,BI-RUI-C005LD
2022-09-01 11:45:00,46.5,BI-RUI-C005LD
2022-09-01 12:00:00,66.1,BI-RUI-C005LD
2022-09-01 12:15:00,49.0,BI-RUI-C005LD
2022-09-01 12:30:00,51.3,BI-RUI-C005LD
2022-09-01 12:45:00,53.0,BI-RUI-C005LD
2022-09-01 13:00:00,55.7,BI-RUI-C005LD
2022-09-01 13:15:00,51.0,BI-RUI-C005LD
2022-09-01 13:30:00,51.7,BI-RUI-C005LD
2022-09-01 13:45:00,53.5,BI-RUI-C005LD
2022-09-01 14:00:00,52.7,BI-RUI-C005LD
2022-09-01 14:15:00,53.7,BI-RUI-C005LD
2022-09-01 14:30:00,50.1,BI-RUI-C005LD
2022-09-01 14:45:00,53.4,BI-RUI-C005LD
2022-09-01 15:00:00,56.3,BI-RUI-C005LD
2022-09-01 15:15:00,56.0,BI-RUI-C005LD
2022-09-01 15:30:00,48.0,BI-RUI-C005LD
2022-09-01 15:45:00,47.8,BI-RUI-C005LD
2022-09-01 16:00:00,48.1,BI-RUI-C005LD
2022-09-01 16:15:00,52.3,BI-RUI-C005LD
2022-09-01 16:30:00,48.7,BI-RUI-C005LD
