index,Value,Tag
2022-08-31 12:30:00,57.9,BI-RUI-C009LD
2022-08-31 12:45:00,60.98,BI-RUI-C009LD
2022-08-31 13:00:00,69.52,BI-RUI-C009LD
2022-08-31 13:15:00,69.38,BI-RUI-C009LD
2022-08-31 13:30:00,67.42,BI-RUI-C009LD
2022-08-31 13:45:00,64.75,BI-RUI-C009LD
2022-08-31 14:00:00,65.97,BI-RUI-C009LD
2022-08-31 14:15:00,66.94,BI-RUI-C009LD
2022-08-31 14:30:00,65.95,BI-RUI-C009LD
2022-08-31 14:45:00,64.72,BI-RUI-C009LD
2022-08-31 15:00:00,60.79,BI-RUI-C009LD
2022-08-31 15:15:00,70.19,BI-RUI-C009LD
2022-08-31 15:30:00,69.87,BI-RUI-C009LD
2022-08-31 15:45:00,62.14,BI-RUI-C009LD
2022-08-31 16:00:00,59.14,BI-RUI-C009LD
2022-08-31 16:15:00,59.97,BI-RUI-C009LD
2022-08-31 16:30:00,60.15,BI-RUI-C009LD
2022-08-31 16:45:00,59.24,BI-RUI-C009LD
2022-08-31 17:00:00,55.81,BI-RUI-C009LD
2022-08-31 17:15:00,57.77,BI-RUI-C009LD
2022-08-31 17:30:00,56.68,BI-RUI-C009LD
2022-08-31 17:45:00,57.9,BI-RUI-C009LD
2022-08-31 18:00:00,58.76,BI-RUI-C009LD
2022-08-31 18:15:00,61.42,BI-RUI-C009LD
2022-08-31 18:30:00,60.6,BI-RUI-C009LD
2022-08-31 18:45:00,62.68,BI-RUI-C009LD
2022-08-31 19:00:00,62.99,BI-RUI-C009LD
2022-08-31 19:15:00,64.78,BI-RUI-C009LD
2022-08-31 19:30:00,65.46,BI-RUI-C009LD
2022-08-31 19:45:00,66.69,BI-RUI-C009LD
2022-08-31 20:00:00,63.94,BI-RUI-C009LD
2022-08-31 20:15:00,65.84,BI-RUI-C009LD
2022-08-31 20:30:00,65.7,BI-RUI-C009LD
2022-08-31 20:45:00,64.49,BI-RUI-C009LD
2022-08-31 21:00:00,63.22,BI-RUI-C009LD
2022-08-31 21:15:00,64.53,BI-RUI-C009LD
2022-08-31 21:30:00,63.25,BI-RUI-C009LD
2022-08-31 21:45:00,64.47,BI-RUI-C009LD
2022-08-31 22:00:00,64.81,BI-RUI-C009LD
2022-08-31 22:15:00,,BI-RUI-C009LD
2022-08-31 22:30:00,65.66,BI-RUI-C009LD
2022-08-31 22:45:00,66.38,BI-RUI-C009LD
2022-08-31 23:00:00,61.89,BI-RUI-C009LD
2022-08-31 23:15:00,65.84,BI-RUI-C009LD
2022-08-31 23:30:00,55.01,BI-RUI-C009LD
2022-08-31 23:45:00,55.7,BI-RUI-C009LD
2022-09-01 00:00:00,51.57,BI-RUI-C009LD
2022-09-01 00:15:00,62.22,BI-RUI-C009LD
2022-09-01 00:30:00,56.84,BI-RUI-C009LD
2022-09-01 00:45:00,49.49,BI-RUI-C009LD
2022-09-01 01:00:00,48.2,BI-RUI-C009LD
2022-09-01 01:15:00,49.42,BI-RUI-C009LD
2022-09-01 01:30:00,48.65,BI-RUI-C009LD
2022-09-01 01:45:00,49.81,BI-RUI-C009LD
2022-09-01 02:00:00,52.11,BI-RUI-C009LD
2022-09-01 02:15:00,50.27,BI-RUI-C009LD
2022-09-01 02:30:00,41.8,BI-RUI-C009LD
2022-09-01 02:45:00,47.7,BI-RUI-C009LD
2022-09-01 03:00:00,41.7,BI-RUI-C009LD
2022-09-01 03:15:00,42.92,BI-RUI-C009LD
2022-09-01 03:30:00,41.7,BI-RUI-C009LD
2022-09-01 03:45:00,41.7,BI-RUI-C009LD
2022-09-01 04:00:00,43.52,BI-RUI-C009LD
2022-09-01 04:15:00,51.1,BI-RUI-C009LD
2022-09-01 04:30:00,66.66,BI-RUI-C009LD
2022-09-01 04:45:00,54.55,BI-RUI-C009LD
2022-09-01 05:00:00,45.92,BI-RUI-C009LD
2022-09-01 05:15:00,47.38,BI-RUI-C009LD
2022-09-01 05:30:00,47.98,BI-RUI-C009LD
2022-09-01 05:45:00,41.7,BI-RUI-C009LD
2022-09-01 06:00:00,44.82,BI-RUI-C009LD
2022-09-01 06:15:00,41.7,BI-RUI-C009LD
2022-09-01 06:30:00,44.48,BI-RUI-C009LD
2022-09-01 06:45:00,41.7,BI-RUI-C009LD
2022-09-01 07:00:00,48.38,BI-RUI-C009LD
2022-09-01 07:15:00,55.46,BI-RUI-C009LD
2022-09-01 07:30:00,51.46,BI-RUI-C009LD
2022-09-01 07:45:00,43.85,BI-RUI-C009LD
2022-09-01 08:00:00,53.72,BI-RUI-C009LD
2022-09-01 08:15:00,56.12,BI-RUI-C009LD
2022-09-01 08:30:00,68.17,BI-RUI-C009LD
2022-09-01 08:45:00,58.42,BI-RUI-C009LD
2022-09-01 09:00:00,58.08,BI-RUI-C009LD
2022-09-01 09:15:00,56.14,BI-RUI-C009LD
2022-09-01 09:30:00,60.11,BI-RUI-C009LD
2022-09-01 09:45:00,56.78,BI-RUI-C009LD
2022-09-01 10:00:00,56.84,BI-RUI-C009LD
2022-09-01 10:15:00,58.48,BI-RUI-C009LD
2022-09-01 10:30:00,60.64,BI-RUI-C009LD
2022-09-01 10:45:00,59.85,BI-RUI-C009LD
2022-09-01 11:00:00,59.63,BI-RUI-C009LD
2022-09-01 11:15:00,58.32,BI-RUI-C009LD
2022-09-01 11:30:00,58.53,BI-RUI-C009LD
2022-09-01 11:45:00,58.77,BI-RUI-C009LD
2022-09-01 12:00:00,62.9,BI-RUI-C009LD
2022-09-01 12:15:00,59.51,BI-RUI-C009LD
2022-09-01 12:30:00,61.06,BI-RUI-C009LD
2022-09-01 12:45:00,62.19,BI-RUI-C009LD
2022-09-01 13:00:00,60.87,BI-RUI-C009LD
2022-09-01 13:15:00,62.45,BI-RUI-C009LD
2022-09-01 13:30:00,62.73,BI-RUI-C009LD
2022-09-01 13:45:00,63.5,BI-RUI-C009LD
2022-09-01 14:00:00,64.46,BI-RUI-C009LD
2022-09-01 14:15:00,63.2,BI-RUI-C009LD
2022-09-01 14:30:00,62.5,BI-RUI-C009LD
2022-09-01 14:45:00,62.01,BI-RUI-C009LD
2022-09-01 15:00:00,69.69,BI-RUI-C009LD
2022-09-01 15:15:00,70.62,BI-RUI-C009LD
2022-09-01 15:30:00,60.42,BI-RUI-C009LD
2022-09-01 15:45:00,60.99,BI-RUI-C009LD
2022-09-01 16:00:00,60.63,BI-RUI-C009LD
